x,y
5.89,-0.67
6.05,-0.69
6.20,-0.69
6.34,-0.67
6.47,-0.63
6.59,-0.59
6.71,-0.53
6.83,-0.47
6.94,-0.39
7.05,-0.32
7.15,-0.23
7.26,-0.15
7.37,-0.07
7.49,0.01
7.60,0.09
7.72,0.17
7.82,0.25
7.92,0.34
8.01,0.43
8.09,0.53
8.15,0.65
8.19,0.76
8.22,0.89
8.23,1.02
8.23,1.15
8.21,1.29
8.18,1.42
8.14,1.56
8.08,1.69
8.01,1.80
7.93,1.91
7.84,1.99
7.74,2.06
7.63,2.10
7.51,2.12
7.39,2.11
7.26,2.08
7.13,2.04
7.00,1.99
6.88,1.92
6.76,1.86
6.65,1.79
6.54,1.72
6.42,1.65
6.31,1.60
6.19,1.55
6.06,1.52
5.93,1.50
5.80,1.50
5.66,1.50
5.51,1.51
5.37,1.52
5.23,1.53
5.08,1.54
4.94,1.54
4.80,1.54
4.66,1.54
4.52,1.54
4.39,1.53
4.25,1.52
4.11,1.51
3.98,1.50
3.84,1.49
3.71,1.47
3.57,1.45
3.44,1.42
3.31,1.39
3.17,1.36
3.05,1.31
2.93,1.26
2.81,1.20
2.70,1.13
2.61,1.04
2.52,0.95
2.45,0.85
2.39,0.74
2.34,0.64
2.31,0.53
2.29,0.43
2.30,0.33
2.32,0.24
2.35,0.16
2.41,0.08
2.48,0.01
2.58,-0.05
2.69,-0.10
2.82,-0.14
2.97,-0.17
3.13,-0.20
3.30,-0.22
3.49,-0.24
3.68,-0.26
3.87,-0.28
4.07,-0.30
4.27,-0.32
4.47,-0.35
4.66,-0.39
4.85,-0.44
5.02,-0.50
5.19,-0.57
