x,y
5.74,-0.57
5.89,-0.50
6.03,-0.45
6.16,-0.42
6.29,-0.41
6.42,-0.41
6.56,-0.42
6.70,-0.43
6.85,-0.44
7.00,-0.43
7.13,-0.40
7.26,-0.34
7.37,-0.26
7.48,-0.18
7.59,-0.09
7.70,-0.01
7.82,0.07
7.94,0.15
8.06,0.24
8.16,0.33
8.24,0.44
8.30,0.57
8.32,0.71
8.34,0.86
8.35,1.00
8.35,1.15
8.35,1.30
8.33,1.43
8.30,1.57
8.26,1.70
8.20,1.83
8.12,1.96
8.03,2.08
7.92,2.16
7.81,2.20
7.69,2.20
7.56,2.19
7.42,2.18
7.27,2.19
7.13,2.19
6.99,2.18
6.86,2.14
6.74,2.08
6.61,2.01
6.49,1.94
6.36,1.89
6.22,1.85
6.08,1.83
5.94,1.82
5.79,1.82
5.64,1.83
5.49,1.83
5.34,1.83
5.20,1.83
5.06,1.83
4.93,1.83
4.80,1.83
4.66,1.83
4.52,1.83
4.37,1.83
4.22,1.83
4.07,1.83
3.92,1.84
3.77,1.83
3.63,1.82
3.49,1.80
3.35,1.76
3.22,1.71
3.09,1.64
2.97,1.57
2.85,1.50
2.73,1.42
2.61,1.35
2.49,1.27
2.37,1.19
2.25,1.11
2.15,1.01
2.07,0.89
2.01,0.76
1.99,0.62
1.99,0.48
2.02,0.34
2.08,0.21
2.15,0.09
2.22,-0.02
2.29,-0.12
2.40,-0.20
2.53,-0.27
2.69,-0.32
2.84,-0.35
2.95,-0.38
3.03,-0.40
3.12,-0.43
3.26,-0.45
3.48,-0.46
3.76,-0.48
4.05,-0.50
4.33,-0.52
4.54,-0.54
4.64,-0.57
